 Log No,   Tarih  , Saat ,  Variable0,Variable1,Variable2,Variable3,Variable4,Variable5,Variable6,Variable7,Variable8,Variable9,Variable10,Variable11,Variable12,Variable13,
1,12.5.2014,12:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,12.5.2014,12:38:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,12.5.2014,12:38:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,12.5.2014,12:38:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,12.5.2014,12:38:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,12.5.2014,12:38:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,12.5.2014,12:38:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,12.5.2014,12:38:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,12.5.2014,12:38:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,12.5.2014,12:38:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,12.5.2014,12:38:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,12.5.2014,12:38:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,12.5.2014,12:38:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,12.5.2014,12:38:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,12.5.2014,12:38:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,12.5.2014,12:38:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,12.5.2014,12:38:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,12.5.2014,12:38:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,12.5.2014,12:38:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,12.5.2014,12:38:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,12.5.2014,12:38:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,12.5.2014,12:38:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,12.5.2014,12:38:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,12.5.2014,12:38:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,12.5.2014,12:38:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,12.5.2014,12:38:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,12.5.2014,12:38:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,12.5.2014,12:38:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,12.5.2014,12:38:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,12.5.2014,12:38:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,12.5.2014,12:38:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,12.5.2014,12:38:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,12.5.2014,12:38:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,12.5.2014,12:38:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,12.5.2014,12:38:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,12.5.2014,12:38:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,12.5.2014,12:38:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,12.5.2014,12:38:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,12.5.2014,12:38:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,12.5.2014,12:38:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,12.5.2014,12:38:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,12.5.2014,12:38:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,12.5.2014,12:38:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,12.5.2014,12:38:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,12.5.2014,12:38:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,12.5.2014,12:38:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,12.5.2014,12:38:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,12.5.2014,12:38:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,12.5.2014,12:38:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,12.5.2014,12:38:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,12.5.2014,12:38:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,12.5.2014,12:38:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,12.5.2014,12:38:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,12.5.2014,12:38:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,12.5.2014,12:38:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
